Operating band,Min peak EIRP (dBm)
n257,16.4
n258,16.4
n261,16.4
NOTE 1:Minimum peak EIRP is defined as the lower limit without toleranceNOTE 2:VoidNOTE 3:Minimum peak EIRP does not apply to initial access and RRC_INACTIVE.,
