Angle of arrival,NR operating bands,Minimum CSI-RS_RP Note 2,CSI-RS Ês/Iot
,,dBm / SCSCSI-RS,dB
,,SCSCSI-RS = 120 kHz,
All angles Note 1,n257,-103.6,≥6
,n258,-103.6,
,n259,-100.5,
"NOTE 1:For UEs that support multiple FR2 bands, the Minimum CSI-RS_RP values are increased by ΔMBS, the UE multi-band relaxation factor in dB specified in clause 6.2.1.5NOTE 2:Values specified at the radiated requirements reference point to give minimum CSI-RS Ês/Iot, with no applied noise.",,,
