Angle of arrival,NR operating bands,Minimum SSB_RP Note 2,SSB Ês/Iot
,,dBm / SCSSSB,dB
,,SCSSSB = 120 kHz,
All angles Note 1,n257,-103.6,≥6
,n258,-103.6,
,n259,-100.5,
"NOTE 1:For UEs that support multiple FR2 bands, the Minimum SSB_RP values for all angles are increased by ΔMBS, the UE multi-band relaxation factor in dB specified in clause 6.2.1.5NOTE 2:Values specified at the radiated requirements reference point to give minimum SSB Ês/Iot, with no applied noise.",,,
