Parameter,Unit,Level
UE EIRP,dBm,-13
UE EIRP for UL 16 QAM,dBm,-10
UE EIRP for UL 64 QAM,dBm,-6
UE EIRP for UL 256 QAM1,dBm,1
Operating conditions,,Normal conditions
NOTE 1: Refer to clause 6.1 for 256 QAM applicability.,,
