Waveform Type,,Bandwidth basis,,,
,,< 400 MHz,≥ 400 MHz and < 800 MHz,≥ 800 MHz and ≤ 1400 MHz,> 1400 MHz and ≤ 2400 MHz
DFT-s-OFDM,Pi/2 BPSK,≤ 5.51,≤ 7.7,≤ 8.2,≤ 8.7
,QPSK,≤ 6.51,≤ 8.7,≤ 9.7,≤ 9.7
,16 QAM,≤ 6.5,≤ 8.7,≤ 9.2,≤ 9.7
,64 QAM,≤ 9.0,≤ 10.7,≤ 11.2,≤ 11.7
,256 QAM2,≤ 12.5,≤ 14.2,≤ 14.7,≤ 15.7
CP-OFDM,QPSK,≤ 6.5,≤ 8.7,≤ 8.7,≤ 9.7
,16 QAM,≤ 6.5,≤ 8.7,≤ 8.7,≤ 9.7
,64 QAM,≤ 9.0,≤ 10.7,≤ 11.2,≤ 11.7
,256 QAM2,≤ 12.5,≤ 14.2,≤ 14.7,≤ 15.7
NOTE 1:(Void)NOTE 2: Refer to clause 6.1 for 256 QAM applicability.,,,,,
