Operating band,Channel bandwidth(MHz),Minimum output power(dBm),Measurement bandwidth(MHz)
"n257, n258, n259, n261",50,-6,47.58
,100,-6,95.16
,200,-6,190.20
,400,-6,380.28
NOTE 1:n261 is not applied for power class 5.NOTE 2:n259 is not applied for power class 6.,,,
