Operating band,Min peak EIRP (dBm)
n257,40.0
n258,40.0
n260,38.0
n261,40.0
n262,34.2
n263,30.6
NOTE 1:Minimum peak EIRP is defined as the lower limit without toleranceNOTE 2:Minimum peak EIRP does not apply to initial access and RRC_INACTIVE.,
