Operating band,Min peak EIRP (dBm)
n257,29
n258,29
n261,29
n262,22.9
NOTE 1:Minimum peak EIRP is defined as the lower limit without tolerance.NOTE 2:Min Peak EIRP refers to the total EIRP for the UL beams peaks.,
