Operating band,Min EIRP at 85 %-tile CDF (dBm)
n257,22
n258,22.4
n259,19.7
NOTE 1:Minimum EIRP at 85 %-tile CDF is defined as the lower limit without tolerance in RRC_CONNECTEDNOTE 2:The requirements in this table are verified only under normal temperature conditions as defined in Annex E.2.1.NOTE 3:Minimum EIRP at 85%-tile CDF is defined as the lower limit minus 2 dB in initial access and RRC_INACTIVE,
