Modulation,,Band,△MPR (dB)
DFT-s-OFDM,256 QAM,"n257, n258, n261",0.0
,,"n259, n260",1.0
CP-OFDM,256 QAM,"n257, n258, n261",0.0
,,"n259, n260",1.0
