SCS (kHz),50 MHz,100 MHz,200 MHz,400 MHz,800 MHz,1600 MHz,2000 MHz
60,1210,2450,4930,N/A,N/A,N/A,N/A
120,1900,2420,4900,9860,N/A,N/A,N/A
480,N/A,N/A,N/A,9680,42640,85520,N/A
960,N/A,N/A,N/A,9440,42400,85280,147040
