,,Level,,,,
Parameter,Unit,100 MHz,400 MHz,800 MHz,1600 MHz,2000 MHz
UE EIRP,dBm,4,6,9,12,13
UE EIRP for UL 16 QAM,dBm,7,9,12,15,16
UE EIRP for UL 64 QAM,dBm,11,13,16,19,20
Operating conditions,Normal Conditions,,,,,
NOTE 1:PTRS is configured for 16 QAM and 64 QAM,,,,,,
