Channel Bandwidth (MHz),FFT size,Cyclic prefix length in FFT samples,EVM window length W,Ratio of W to total CP length1 (%)
50,1024,256,220,85.9
100,2048,512,440,85.9
200,4096,1024,880,85.9
Note 1:These percentages are informative.,,,,
