UE Power class,UE type
1,Fixed wireless access (FWA) UE
2,Vehicular UE
3,Handheld UE
4,High power non-handheld UE
5,Fixed wireless access (FWA) UE
6,High Speed Train Roof-Mounted UE
7,RedCap UE
Note:  Any power class can be used for Redcap type devices as long as the device can meet the core requirements that are applicable to Redcap devices as defined in clause 4.2.21.1 from TS38.306 [14],
