Operating band,EIS at 50th %-tile CCDF (dBm) / Channel bandwidth,
,50 MHz,100 MHz
n257,-74.4,-71.4
n258,-74.4,-71.4
n261,-74.4,-71.4
NOTE 1:The transmitter shall be set to PUMAX as defined in clause 6.2.4NOTE 2:The EIS spherical coverage requirements are verified only under normal thermal conditions as defined in Annex E.2.1.,,
