Parameter,Unit,Value
MR Channel bandwidth,MHz,All CBW
LP-WUS bandwidth,RB,11
Subcarrier spacing,KHz,120
Chip rate,chip per OFDM symbol,M=1
Overlaid OFDM sequence,,Length 132: generated by 131-length ZC sequence with extension
Number of overlaid OFDM sequence per chip to carry information,,2
LP-WUS duration,OFDM symbols,6
Manchester coding for OOK,,1/2
Number of information bits,Bits,3
