Operating band,Min peak EIRP (dBm)
n257,22.4
n258,22.4
n259,18.7
n260,20.6
n261,22.4
n262,16.0
NOTE 1:Minimum peak EIRP is defined as the lower limit without tolerance.NOTE 2:Min Peak EIRP refers to the total EIRP for the UL beams peaks.,
