Operating band,Min EIRP at 50 %-tile CDF (dBm)
n257,5.5
n258,5.5
n261,5.5
NOTE 1:Minimum EIRP at 50 %-tile CDF is defined as the lower limit without tolerance in RRC_CONNECTED.NOTE 2:The requirements in this table are verified only under normal temperature conditions as defined in Annex E.2.1.NOTE 3:Minimum EIRP at 50%-tile CDF is defined as the lower limit minus 2 dB in initial access and RRC_INACTIVE,
