Angle of arrival,NR operating bands,Minimum CSI-RS_RP Note 2,CSI-RS Ês/Iot
,,dBm / SCSCSI-RS,dB
,,SCSCSI-RS = 120 kHz,
All angles Note 1,n257,-96.2,≥6
,n258,-96.2,
,n259,-90.7,
,n260,-91.9,
,n261,-96.2,
,n262,-88.5,
,n263,-88.0,
"NOTE 1:For UEs that support multiple FR2 bands, the Minimum SSB_RP values for all angles are increased by MBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1.NOTE 2:Values specified at the radiated requirements reference point to give minimum CSI-RS Ês/Iot, with no applied noise.",,,
