Operating band,Min peak EIRP (dBm)
n257,22.4
n258,22.4
n259,18.7
n260,20.6
n261,22.4
n262,16.0
n263,14.1
NOTE 1:Minimum peak EIRP is defined as the lower limit without toleranceNOTE 2:VoidNOTE 3: Minimum peak EIRP does not apply to initial access and RRC_INACTIVE.,
