Angle of arrival,NR operating bands,Minimum SSB_RP,SSB Ês/Iot
,,dBm / SCSSSB,dB
,,SCSSSB = 120 kHz,
All angles,n257,-108.3,≥6
,n258,-108.3,
,n260,-105.3,
,n261,-108.3,
,n262,-103.1,
,n263,-95.5,
"NOTE 1:Values specified at the radiated requirements reference point to give minimum SSB Ês/Iot, with no applied noise.",,,
