Rx Parameter,Units,Channel bandwidth,,,,,,,,
,,50 MHz,100 MHz,200 MHz,400 MHz,800 MHz,1600 MHz,2000 MHz,,
"Power in Transmission Bandwidth Configuration for band n257, n258, n261",dBm,-46.5,-46.5,-46.5,-46.5,N/A,N/A,N/A,,
"Power in Transmission Bandwidth Configuration for band n259, n260, n262",dBm,-45.5,-45.5,-45.5,-45.5,N/A,N/A,N/A,,
Power in Transmission Bandwidth Configuration for band n263,dBm,N/A,-44.5,N/A,-44.5,-43.5,-43.5,-43.5,,
PInterferer,dBm,-25,,,,,,,,
BWInterferer,MHz,50,100,200,400,800,1600,2000,,
FInterferer (offset),MHz,50/-50NOTE 2,100/-100NOTE 2,200/-200NOTE 2,400/-400NOTE 2,800/-800NOTE 2,1600/-1600NOTE 2,2000/-2000NOTE 2,,
"NOTE 1:The interferer consists of the Reference measurement channel specified in Annex A.3.3.2 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1 and set-up according to Annex C.NOTE 2:The absolute value of the interferer offset FInterferer (offset) shall be further adjusted to (CEIL(|FInterferer(offset)|/SCS) + 0.5)*SCS MHz with SCS the sub-carrier spacing of the wanted signal in MHz. Wanted and interferer signal have same SCS.NOTE 3:The transmitter shall be set to 4 dB below the PUMAX,f,c as defined in clause 6.2.4, with uplink configuration specified in Table 7.3.2.1-2.",,,,,,,,,,
