NR CA configuration,NR band,"ΔTIB,P,n (dB)","ΔTIB,S,n (dB)"
CA_n257A-n259A,n257,6.0,6.0
,n259,6.0,6.0
CA_n260A-n261A,n260,6.0,6.0
,n261,6.0,6.0
