Operating Band,ΔFRaster(kHz),Uplink and DownlinkRange of NREF(First – <Step size> – Last)
n257,60,2054166 – <1> – 2104165
,120,2054167 – <2> – 2104165
n258,60,2016667 – <1> – 2070832
,120,2016667 – <2> – 2070831
n259,60,2270833 – <1> – 2337499
,120,2270833 – <2> – 2337499
n260,60,2229166 – <1> – 2279165
,120,2229167 – <2> – 2279165
n261,60,2070833 – <1> – 2084999
,120,2070833 – <2> – 2084999
n262,60,2399166 – <1> – 2415832
,120,2399167 – <2> – 2415831
n263,120,See Table 5.4.2.3-2
,480,
,960,
