Angle of arrival,NR operating bands,Minimum SSB_RP Note 2,SSB Ês/Iot
,,dBm / SCSSSB,dB
,,SCSSSB = 120 kHz,
All angles Note 1,n257,-106.4,≥1
,n258,-106.6,
,n261,-106.4,
"NOTE 1:For UEs that support multiple FR2 bands, the Minimum SSB_RP values for all angles are increased by ΔMBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1.6NOTE 2:Values specified at the radiated requirements reference point to give minimum SSB Ês/Iot, with no applied noise.",,,
