Operating band,Min peak EIRP (dBm)
n257,30
n258,30.4
n259,27.7
NOTE 1:Minimum peak EIRP is defined as the lower limit without toleranceNOTE 2:Minimum peak EIRP does not apply to initial access and RRC_INACTIVE.,
