Rx parameter,Units,Channel bandwidth,,,,,,
,,50 MHz,100 MHz,200 MHz,400 MHz,800 MHz,1600 MHz,2000 MHz
Power in Transmission Bandwidth Configuration,dBm,REFSENS + 14 dB,,,,,,
BWInterferer,MHz,50,100,200,400,800,1600,2000
"PInterfererfor bands n257, n258, n261",dBm,REFSENS + 35.5 dB,REFSENS + 35.5 dB,REFSENS + 35.5 dB,REFSENS + 35.5 dB,N/A,N/A,N/A
"PInterfererfor bands n259, n260, n262",dBm,REFSENS + 34.5 dB,REFSENS + 34.5 dB,REFSENS + 34.5 dB,REFSENS + 34.5 dB,N/A,N/A,N/A
PInterfererfor band n263,dBm,N/A,REFSENS + 33.5 dB,N/A,REFSENS + 33.5 dB,REFSENS + 33.5 dB,REFSENS + 33.5 dB,REFSENS + 33.5 dB
FInterferer (offset),MHz,≤ -100 & ≥ 100NOTE 5,≤ -200 & ≥ 200NOTE 5,≤ -400 & ≥ 400NOTE 5,≤ -800 & ≥ 800NOTE 5,≤ -1600 & ≥ 1600NOTE 5,≤ -3200 & ≥ 3200,≤ -4000 & ≥ 4000
FInterferer,MHz,FDL_low + 25to FDL_high - 25,FDL_low + 50to FDL_high - 50,FDL_low + 100to FDL_high - 100,FDL_low + 200to FDL_high - 200,FDL_low + 400to FDL_high - 400,FDL_low + 800to FDL_high - 800,FDL_low + 1600to FDL_high - 1600
"NOTE 1:The interferer consists of the Reference measurement channel specified in Annex A.3.3.2 with one sided dynamic OCNG Pattern OP.1. TDD as described in Annex A.5.2.1 and set-up according to Annex C.NOTE2:The REFSENS power level is specified in Clause 7.3.2, which are applicable according to different UE power classes.NOTE 3:The wanted signal consists of the reference measurement channel specified in Annex A.3.3.2 with one sided dynamic OCNG pattern OP.1 TDD as described in Annex A.5.2.1 and set-up according to Annex C.NOTE 4:VoidNOTE 5:The absolute value of the interferer offset FInterferer (offset) shall be further adjusted (CEIL(|FInterferer(offset)|/SCS) + 0.5)*SCS MHz with SCS the sub-carrier spacing of the wanted signal in MHz. Wanted and interferer signal have same SCS.NOTE 6:FInterferer range values for unwanted modulated interfering signals are interferer center frequencies.NOTE 7:The transmitter shall be set to 4 dB below the PUMAX,f,c as defined in clause 6.2.4, with uplink configuration specified in Table 7.3.2.1-2.",,,,,,,,
