Rx Parameter,Units,Level
Power summed over transmission bandwidth configurations of all active DL CCs,dBm,-25 (NOTE 2)-27 (NOTE 3)
"NOTE 1:The transmitter shall be set to 4 dB below the PUMAX,f,c as defined in clause 6.2.4, with uplink configuration specified in Table 7.3.2.1-2NOTE 2:Reference measurement channel in each CC is specified in Annex A.3.3.2: QPSK, R=1/3 variant with one sided dynamic OCNG Pattern as described in Annex A. NOTE 3:Reference measurement channel is specified in Annex A.3.3.5: 256QAM, R=4/5 variant with one sided dynamic OCNG Pattern as described in Annex A.",,
