Aggregated Channel BW 'BWChannel_CA' (MHz),ΔRIBC (dB)
BWChannel_CA ≤ 800,0.0
800 < BWChannel_CA ≤ 1200,0.5
1200 < BWChannel_CA ≤ 1600,1.0
1600 < BWChannel_CA ≤ 2000,1.5
