Frequency Range,Maximum Level,Measurement bandwidth,NOTE
7.25 GHz ≤ f ≤ 2nd harmonic of the upper frequency edge of the UL operating band,-10 dBm,100 MHz,
23.6 GHz  f  24.0 GHz,-5 dBm,200 MHz,1
NOTE 1:This requirement also applies for the frequency ranges that are less than FOOB (MHz) in Table 6.5.3-1 from the edge of the channel bandwidth. The protection of frequency range 23600 - 24000 MHz is meant for protection of satellite passive services.,,,
