Operating band,Min EIRP at 50 %-tile CDF (dBm)
n257,11.5
n258,11.5
n259,5.8
n260,8
n261,11.5
n262,2.9
n263,2.3
NOTE 1:Minimum EIRP at 50 %-tile CDF is defined as the lower limit without tolerance in RRC_CONNECTED.NOTE 2:VoidNOTE 3:The requirements in this table are verified only under normal temperature conditions as defined in Annex E.2.1.NOTE 4:Minimum EIRP at 50%-tile CDF is defined as the lower limit minus 2 dB in initial access and RRC_INACTIVE,
