Operating band,Min EIRP over UE spherical coverage evaluation areas (dBm)
n257,20
n258,20.4
n261,20
NOTE 1:Minimum EIRP over UE spherical coverage evaluation areas is defined as the lower limit without toleranceNOTE 2:The requirements in this table are verified only under normal temperature conditions as defined in Annex E.2.1.NOTE 3:The requirements in this table are applicable to FR2 PC6 UE with the network signalling highSpeedMeasFlagFR2-r17 configured as set2.,
