NR CA Band,NR Band(Table 5.2-1)
CA_n257,n257
CA_n258,n258
CA_n259,n259
CA_n260,n260
CA_n261,n261
CA_n2631,n263
"NOTE 1:In this release of the specification, only contiguous CA is applicable for this operating band.",
