Operating band,Min EIRP at 85 %-tile CDF (dBm)
n257,32.0
n258,32.0
n260,30.0
n261,32.0
n262,26.0
NOTE 1:Minimum EIRP at 85 %-tile CDF is defined as the lower limit without tolerance,
