Operating band,PDSCH DL power over UE spherical coverage evaluation areas (dBm) / Channel bandwidth,,,
,50 MHz,100 MHz,200 MHz,400 MHz
n257,-82.6,-79.6,-76.6,-73.6
n258,-82.8,-79.8,-76.8,-73.8
n261,-82.6,-79.6,-76.6,-73.6
NOTE 1:The transmitter shall be set to PUMAX as defined in clause 6.2.4NOTE 2:The 2AoA spherical coverage requirements are verified only under normal thermal conditions as defined in Annex E.2.1.NOTE 3:The requirements in this table are applicable with the network signalling highSpeedMeasFlagFR2-r17 configured as set2.,,,,
