Configuration,Description
1,"GSO, NR FDD, SSB SCS 120 kHz, data SCS 120 kHz, BW 100 MHz"
2,"NGSO, NR FDD, SSB SCS 120 kHz, data SCS 120 kHz, BW 100 MHz"
3,"GSO, NR FDD, SSB SCS 120 kHz, data SCS 120 kHz, BW 100 MHz"
4,"GSO, NR FDD, 30 kHz SSB SCS, 10 MHz BW"
5,"NGSO, NR FDD, 30 kHz SSB SCS, 10 MHz BW"
"NOTE:For mobile VSAT UE type, it is only requied to pass test config 3.",
