Configuration,Description
1,"GSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
2,"NGSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
"NOTE:If UE supports both NGSO and GSO, the GSO-based test cases can be skipped if the UE passes NGSO-based test cases.",
