Parameter,Unit,Test 1,Test 2
Angle of arrival configuration,,Setup 1 according to clause A.3.15.1,
Assumption for UE beamsNote 6,,Fine (For electronic steering antenna type)RX beam of RX beam peak direction (For mechanical steering antenna type),
Note1,dBm/15 kHzNote4,-112,
Note1,dBm/SCSNote3,-103,
,dB,4,
SS-RSRPNote2,dBm/SCS Note4,-96,
,dB,4,
IoNote2,dBm/95.04 MHz Note4,-68.5,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SS B_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:VoidNOTE 4:VoidNOTE 5:VoidNOTE 6:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,
