Parameter,Config,Unit,T1,,T2,
,,,Cell 1,Cell 2,Cell 1,Cell 2
Satellite Configuration,"1,3",,SSC.1,SSC.1,NSC.1,NSC.1
,"2,4",,SSC.2,SSC.2,NSC.1,NSC.2
Angle of arrival configuration,,,TBD,,,
Assumption for UE beamsNote 3,,,Rough,,Rough,
Note1,,dBm/15 kHzNote2,-103.2,,N/A,
Note1,,dBm/SCSNote2,-94.2,,N/A,
,,dB,6.0,1.0,N/A,N/A
Es,,dBm/SCSNote2,,,(clause B.2.17 Rx Beam Peak +2.1 dB)NOTE 4,(clause B.2.17 Rx Beam Peak +2.1 dB)NOTE 4
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled. The Noc is calculated using -145 dBm/Hz (clause 11.1.3.4.2 in [42])NOTE 2:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 3:Information about types of UE beam is given in TBD, and does not limit UE implementation or test system implementationNOTE 4:The actual calculation depends on the actual band and VSAT Type and UE Refsens.",,,,,,
