Config,Description
1,"NR carrier with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeNR carrier without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"NR carrier with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeNR carrier without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"NR carrier with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeNR carrier without CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE: The UE is only required to be tested in one of the supported test configurations for each supported band,
