,"Test requirement Notes1,2,3,4"
Cell 1,SSB_RP1 -δ +Gmin – NTNmargin/2 ≤ Reported RSRP(dBm) ≤ SSB_RP1 +δ +Gmax + NTNmargin/2
Cell 2,SSB_RP2 -δ +Gmin - NTNmargin/2 ≤ Reported RSRP(dBm) ≤ SSB_RP2 +δ +Gmax + NTNmargin/2
"NOTE 1:SSB_RPn is the  equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone configured in the test for the cell n under considerationNOTE 2:δ is the RSRP absolute accuracy requirement from Table 10.1.3.1.1-1, selected according to the Io used in the testNOTE 3:Gmin and Gmax are the minimum and maximum UE gain values from table B.2.1.8.1-1, selected according to the UE power classNOTE 4:NTNmargin is the relaxation margin for FR2-NTN and equals 1 dB.",
