Config,Description
1,"Without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeWith CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
2,"Without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeWith CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
3,"Without CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeWith CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
