Configuration,Description
1,"GSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
2,"NGSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
3,"NGSO with varying Doppler and delay shift NTN channel model, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz"
"Note:If UE supports both NGSO and GSO, the GSO-based test cases can be skipped if the UE passes NGSO-based test cases.",
