Number of NPDSCH repetitions,,Starting radio frame number for SystemInformationBlockType1-NB repetitions (nf mod 256)
8,mod 2 = 0,0
,mod 2 = 1,16
16,mod 2 = 0,0
,mod 2 = 1,1
