Value of schedulingInfoSIB1,Number of NPDSCH repetitions,Subframe index
0,4,0
1,8,0
2,16,0
3,4,0
4,8,0
5,16,0
6,4,0
7,8,0
8,16,0
9,4,0
10,8,0
11,16,0
12-15,16,4
