Value of schedulingInfoSIB1,Number of NPDSCH repetitions,Subframe index
0,8,"0, 5"
1,16,"0, 5"
2,8,"0, 5"
3,16,"0, 5"
4,8,"0, 5"
5,16,"0, 5"
6,8,"0, 5"
7,16,"0, 5"
