MCS Index,Modulation or and,Modulationand,Number of RUs,TBS
'000',pi/2 BPSK,QPSK,4,88 bits
'001',pi/4 QPSK,QPSK,3,88 bits
'010',pi/4 QPSK,QPSK,1,88 bits
'011',reserved,reserved,reserved,reserved
'100',reserved,reserved,reserved,reserved
'101',reserved,reserved,reserved,reserved
'110',reserved,reserved,reserved,reserved
'111',reserved,reserved,reserved,reserved
