Resource reservation field in SCI format 1,Indicated value X,Condition
"'0001', '0010', …, '1010'",Decimal equivalent of the field,The higher layer decides to keep the resource for the transmission of the next transport block and the value X meets .
'1011',0.5,The higher layer decides to keep the resource for the transmission of the next transport block and the value X is 0.5.
'1100',0.2,The higher layer decides to keep the resource for the transmission of the next transport block and the value X is 0.2.
'0000',0,The higher layer decides not to keep the resource for the transmission of the next transport block.
"'1101', '1110', '1111'",Reserved,
