,,DCI subframe repetition number,NCCE indices of monitored NPDCCH candidates,
,,,L'=1,L'=2
1,1,00,"{0},{1}","{0,1}"
2,1,00,"{0},{1}","{0,1}"
,2,01,-,"{0,1}"
4,1,00,-,"{0,1}"
,2,01,-,"{0,1}"
,4,10,-,"{0,1}"
>=8,,00,-,"{0,1}"
,,01,-,"{0,1}"
,,10,-,"{0,1}"
,,11,-,"{0,1}"
"Note 1:{x}, {y} denotes NPDCCH Format 0 candidate with NCCE index 'x', and NPDCCH Format 0 candidate with NCCE index 'y' are monitoredNote 2:{x,y} denotes NPDCCH Format1 candidate corresponding to NCCEs 'x' and 'y' is monitored.",,,,
