CA Capability,CA Capability Description
CA3_C,Intra-band contiguous CA
CA3_A2,Inter-band CA (two bands)
CA3_A3,Inter-band CA (three bands)
CA3_N2,Intra-band non-contiguous CA (with two sub-blocks)
NOTE 1:CA3_C corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-1 for 3 DL CCs. CA3_A2 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-2 for 3 DL CCs. CA3_A3 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in and Table 5.6A.1-2a for 3 DL CCs. CA3_N2 corresponds to E-UTRA CA configurations and bandwidth combination sets defined in Table 5.6A.1-3 for 3 DL CCs.,
