Band-width,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config,Reference value,
,,,,,Fraction of maximum throughput (%),SNR (dB)
5MHz,R.50-3 TDD,OP.1 TDD,EPA5,8x8 Low,70,17.6
10MHz,R.50-4 TDD,OP.1 TDD,EPA5,8x8 Low,70,18.5
15MHz,R.50-5 TDD,OP.1 TDD,EPA5,8x8 Low,70,18.9
20MHz,R.50-6 TDD,OP.1 TDD,EPA5,8x8 Low,70,18.9
