,Test 1-1,Test 1-2,Test 1-3,Test 1-4
,1.2,1.2,1.3,1.35
,40,40,20,10
UE Category,≥2,≥2,≥2,≥2
"Note1:According to UE capability configuration list for the maximum number of NZP CSI-RS resource Kmax and the maximum number of total NZP CSI-RS ports N in each K =2,.., Kmax: if UE supports the combination of (K,N) =(8,64), then test 1-4 is applicable ; else if UE supports the combination of (K,N) =(4,32), then test 1-3 is applicable; else if UE supports the combination of (K,N) =(2,16), then test 1-2 is applicable; otherwise test 1-1 is applicable.",,,,
