Test number,Bandwidth combination
1,10MHz for both cells
2,20MHz for both cells
3,5MHz for both cells
4,5MHz for PCell and 10MHz for SCell
5,5MHz for PCell and 15MHz for SCell
Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 9.1.1.2. The test coverage for different number of component carriers is defined in 9.1.1.3.Note 2: Mapping of PCell and Scell to the CCs shall be constant for all the iterations during the test. Each execution of the test shall use the same mapping.,
