Test number,Bandwidth and MCS,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,,UE Category
,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,10 MHzQPSK 1/3,R.76A TDD,OP.1 TDD,EVA 70Hz,2x2 Medium,70,[0.9],≥1
2,10 MHz16QAM 1/2,R.61A TDD,OP.1 TDD,EVA 70Hz,4x2 Low,70,[15.6],≥2
