Test number,Bandwidth,Aggregation level,Reference Channel,OCNG Pattern,Propagation Condition,Antenna configuration and correlation Matrix,Reference value,,UECategory
,,,,,,,Pm-dsg (%),SNR (dB),
1,10 MHz,24 ECCE,R.83 TDD,OP.2 TDD,ETU1,2 x 1 Low,1,-10.1,M1
2,10 MHz,24 ECCE,R.83 TDD,OP.2 TDD,ETU1,2 x 2 Low,1,-12.3,≥1
3,10 MHz,24 ECCE,R.83 TDD,OP.2 TDD,ETU1,2 x 4 Low,1,-12.8,≥1
