Parameter,,Unit,Cell 1,Cell 2,Cell 3
Downlink power allocation,,dB,-3,-3,-3
,,dB,-3 (Note 1),-3,-3
,,dB,0,0,0
Cell-specific reference signals,,,"Antenna ports 0,1","Antenna ports 0,1","Antenna ports 0,1"
at antenna port,,dBm/15kHz,-98,N/A,N/A
DIP (Note 2),,dB,N/A,-1.73,-8.66
BWChannel,,MHz,10,10,10
Cyclic Prefix,,,Normal,Normal,Normal
Cell Id,,,0,1,2
Number of control OFDM symbols,,,2,2,2
PDSCH transmission mode,,,6,N/A,N/A
Interference model,,,N/A,As specified in clause B.5.3,As specified in clause B.5.3
Probability of occurrence of transmission rank in interfering cells,Rank 1,%,N/A,80,80
,Rank 2,%,N/A,20,20
Precoding granularity,,PRB,50,6,6
PMI delay (Note 4),,ms,8,N/A,N/A
Reporting interval,,ms,5,N/A,N/A
Reporting mode,,,PUCCH 1-1,N/A,N/A
CodeBookSubsetRestriction bitmap,,,1111,N/A,N/A
Physical channel for CQI reporting,,,PUSCH(Note 6),N/A,N/A
cqi-pmi-ConfigurationIndex,,,2,N/A,N/A
"Note 1:Note 2: The respective received power spectral density of each interfering cell relative to  is defined by its associated DIP value as specified in clause B.5.1.Note 3:Cell 1 is the serving cell. Cell 2, 3 are the interfering cells.Note 4: If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 5: All cells are time-synchronous.Note 6:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1 and #6 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#5 and #0.",,,,,
