Test Number,Reference Channel,OCNG Pattern,,Propagation Conditions (Note 1),,Reference Value,,UE Category
,,Cell 1,Cell 2,Cell 1,Cell 2,Fraction of Maximum Throughput (%),SNR (dB) (Note 2),
1,R.11-13 TDD,OP.1 TDD,NA,EVA5,EVA5,70,15.0,≥2
Note 1:The propagation conditions for Cell 1 and Cell 2 are statistically independent.Note 2:SNR corresponds to  of Cell 1.,,,,,,,,
