Test number,Band-width and MCS,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,,UE DL category
,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,10 MHz64QAM 1/2,R.63 FDD,OP.1 FDD,EPA5,2x1 Low,70,13.2,0
