MIMO layer,Bandwidth,Reference channel
2 layer,10,R.31-6 TDD
,15,R.31-5 TDD
,20,R.31-4 TDD
4 layer,10,R.31-7 TDD
,15,R.31-8 TDD
,20,R.31-9 TDD
