Test number,Band-width,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,,UE Category
,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,1.4 MHz,R.12 FDD,OP.1 FDD,EPA5,4x2 Medium,70,0.6,≥1
2,10 MHz,R.13 FDD,OP.1 FDD,ETU70,4x2 Low,70,-0.9,≥1
