Parameter,,Unit,Test 1-4
Downlink power allocation,,dB,0
,,dB,0 (Note 1)
,,dB,0
at antenna port,,dBm/15kHz,-98
Subcarrier spacing,,kHz,7.5 kHz
Allocated subframes per Radio Frame (Note 2),,,8 subframes
Number of OFDM symbols for PDCCH,,,0 (MBSFN subframes)2 (non-MBSFN subframes)
Cyclic Prefix in non-MBSFN subframes,,,Extended
"Note 1:.Note 2:For FDD mode, up to 8 subframes (#1/2/3/4/6/7/8/9) are available for MBMS, in line with TS 36.331.",,,
