Test number,Bandwidth and MCS,Reference Channel,OCNG Pattern,Propagation Condition,Correlation Matrix and Antenna Configuration,Reference value,,UE DL category
,,,,,,Fraction of MaximumThroughput (%),SNR (dB),
1,10 MHzQPSK 1/3,R.64 FDD,OP.1 FDD,EPA5,2x1 Low,70,4.7,0
2,10 MHzQPSK 1/3,R.86 FDD,OP.1 FDD,EPA5,2x1 Low,70,2.5,1bis
