MIMO layer,Bandwidth,FDD Reference channel,TDD Reference channel
2 layer,5,R.105-3 FDD,N/A
,10,R.105-2 FDD,R.105-2 TDD
,15,R.105-1 FDD,R.105-1 TDD
,20,R.105 FDD,R.105 TDD
4 layer,5,R.105-7 FDD,N/A
,10,R.105-6 FDD,R.105-5 TDD
,15,R.105-5 FDD,R.105-4 TDD
,20,R.105-4 FDD,R.105-3 TDD
