Test number,Aggregated Bandwidth (MHz),,,Minimum performance requirement (Note 2),UE Category
,Total,PCell,LAA SCell,,
1,2x20,20,20,As defined in Table 8.3.3.1.1-5 and Table 8.3.3.1.1-6,≥5
2,15+20,15,20,As defined in Table 8.3.3.1.1-5 and Table 8.3.3.1.1-6,≥5
3,10+20,10,20,As defined in Table 8.3.3.1.1-5 and Table 8.3.3.1.1-6,≥5
Note 1: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3D.Note 2: Apply a per-CC requirement defined in Table 8.3.3.1.1-5 for PCell and apply a per-CC requirement defined in Table 8.3.3.1.1-6 for LAA SCell.,,,,,
